web-scraper-order,web-scraper-start-url,CLICKER,PLAYER,TEAM,AGE,POSITION,GAMES_PLAYED,GAMES,FREQ_PCT,DFGM,DFGA,DFG_PCT,FG_PCT,DIFF_PCT
"1723586088-3720","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Svi Mykhailiuk","OKC","24","G-F","63","63","100","236","486","48.6","45.4","3.2"
"1723586088-3721","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Willy Hernangomez","NOP","27","C-F","44","44","100","255","483","52.8","49.5","3.3"
"1723586088-3722","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Gary Trent Jr.","TOR","22","G-F","54","54","100","229","480","47.7","45.8","1.9"
"1723586088-3723","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Grant Williams","BOS","22","F","63","63","100","212","479","44.3","46.6","-2.3"
"1723586088-3724","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Jusuf Nurkic","POR","26","C","36","36","100","227","474","47.9","49.5","-1.6"
"1723586088-3725","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Dean Wade","CLE","24","F-C","60","60","100","228","474","48.1","47.3","0.8"
"1723586088-3726","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Marcus Morris Sr.","LAC","31","F","57","57","100","230","470","48.9","46.7","2.2"
"1723586088-3727","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Derrick Rose","NYK","32","G","50","50","100","202","470","43.0","45.3","-2.3"
"1723586088-3728","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Cameron Johnson","PHX","25","F","59","59","100","223","466","47.9","45.6","2.2"
"1723586088-3729","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Daniel Gafford","WAS","22","F-C","52","52","100","229","466","49.1","48.8","0.3"
"1723586088-3730","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Desmond Bane","MEM","23","G","68","68","100","193","457","42.2","45.7","-3.5"
"1723586088-3731","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","James Wiseman","GSW","20","C","38","38","100","214","456","46.9","49.3","-2.4"
"1723586088-3732","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","John Wall","HOU","30","G","40","40","100","215","455","47.3","46.3","0.9"
"1723586088-3733","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","D'Angelo Russell","MIN","25","G","41","41","100","217","454","47.8","45.8","2.0"
"1723586088-3734","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Markieff Morris","LAL","31","F","60","60","100","210","453","46.4","47.4","-1.1"
"1723586088-3735","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Grayson Allen","MEM","25","G","50","50","100","206","449","45.9","45.7","0.2"
"1723586088-3736","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Dario Saric","PHX","27","F-C","47","47","100","203","446","45.5","47.0","-1.5"
"1723586088-3737","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Hamidou Diallo","DET","22","G","51","51","100","201","443","45.4","45.2","0.1"
"1723586088-3738","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Alex Caruso","LAL","27","G","58","58","100","195","443","44.0","45.6","-1.6"
